Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos produtores,mes
PETROBRAS 19,29970.936473247,358.803604666667,32227.7429739154,10,Marlim/Marlim Sul,2018-09-01
PETROBRAS 66 (P-66),146334.344998594,5807.50134774193,182862.425050634,7,Lula,2018-10-01
FPSO CIDADE DE ILHA BELA,145871.979036523,5694.05807064516,181686.522429847,7,Sapinhoá,2018-10-01
FPSO CIDADE DE MARICÁ,145538.020560087,4929.64783032258,176544.568779728,6,Lula,2018-10-01
FPSO CIDADE DE SAQUAREMA,141907.935848455,5703.82432806451,177783.907145358,6,Lula,2018-10-01
PETROBRAS 58,137938.333279935,4313.84668806452,165071.609316991,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-10-01
FPSO CIDADE DE ITAGUAÍ,130367.295069848,6211.43108967742,169436.016452012,5,Lula,2018-10-01
FPSO CIDADE DE MANGARATIBA,125385.869027368,6640.61756677419,167154.09180504,6,Lula,2018-10-01
FPSO CIDADE DE PARATY,119371.806326739,4351.71826645161,146743.287396249,6,Lula,2018-10-01
FPSO CIDADE DE SÃO PAULO,118790.832808806,4893.07376193548,149567.337087366,6,Sapinhoá,2018-10-01
FPSO CIDADE DE ANGRA DOS REIS,83301.8236430097,4006.35508709677,108501.035933382,6,Lula,2018-10-01
PETROBRAS 52,79298.5462433387,1559.1567916129,89105.3462227935,16,Roncador,2018-10-01
PETROBRAS 40,64289.3978561161,1337.49236064516,72701.9706810257,15,Marlim/Marlim Sul,2018-10-01
PETROBRAS 57,56513.9651686807,455.55148,59379.2974230995,16,Jubarte³,2018-10-01
PETROBRAS 74 (P-74),52121.2978057355,1839.19931548387,63689.5120522591,2,Búzios,2018-10-01
PETROBRAS 43,50777.072076071,605.536672903226,54585.7826966644,18,Barracuda/Caratinga,2018-10-01
FPSO ESPIRITO SANTO,45477.5364377855,425.58619,48154.3927115094,18,Argonauta/Ostra,2018-10-01
PETROBRAS 56,45283.4749211742,1130.46195387097,52393.8658232513,10,Marlim Sul,2018-10-01
PETROBRAS 54,42980.4934532097,648.332428709678,47058.3812466321,12,Roncador,2018-10-01
PEREGRINO A,41377.7626194581,77.2832258064516,41863.8594259678,16,Peregrino,2018-10-01
FPSO CIDADE DE ANCHIETA,39965.8808528742,1459.32701193548,49144.7704858161,5,Baleia Azul³/Jubarte³/Pirambu³,2018-10-01
FPSO CAPIXABA,39930.6071926,848.726751290322,45268.9372001334,5,Cachalote³/Jubarte³,2018-10-01
PETROBRAS 55,39587.6157374161,647.25403,43658.7206078504,10,Roncador,2018-10-01
PETROBRAS 51,39192.6582778065,624.016270322581,43117.6020550441,12,Marlim Sul,2018-10-01
PETROBRAS 53,38851.3813030903,655.719972258064,42975.7353417988,15,Marlim Leste,2018-10-01
FPSO CIDADE DE CARAGUATATUBA,36168.2214000451,1342.74750129032,44613.848061136,3,Lapa,2018-10-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,35689.4938160903,427.338555806451,38377.3721377873,4,AnC Tartaruga Verde⁴/Tartaruga Verde,2018-10-01
PETROBRAS 50,33790.0375617017,560.458620645161,37315.2157984219,14,Albacora/Albacora Leste,2018-10-01
PETROBRAS 62,32990.998950471,1955.87335677419,45293.0707486429,14,Roncador,2018-10-01
FPSO CIDADE DE NITEROI,32405.2553217935,555.257556774193,35897.7198549674,6,Marlim Leste,2018-10-01
PETROBRAS 19,29924.2537671932,350.615223225806,32129.5569043911,10,Marlim/Marlim Sul,2018-10-01
FPSO CIDADE DE MARICÁ,150566.392188863,5144.62272633333,182925.091659182,6,Lula,2018-11-01
PETROBRAS 66 (P-66),148915.35899593,5847.20003,185693.136216624,7,Lula,2018-11-01
FPSO CIDADE DE SAQUAREMA,141337.832001423,5709.71691566667,177250.866554753,6,Lula,2018-11-01
PETROBRAS 58,129908.947417147,4069.70697433333,155506.631041378,13,Baleia Anã/Baleia Azul/Baleia Franca/Jubarte,2018-11-01
FPSO CIDADE DE ITAGUAÍ,129404.454336667,6365.29785833333,169440.96845899,5,Lula,2018-11-01
FPSO CIDADE DE MANGARATIBA,126133.751040063,6772.94119,168734.264266337,6,Lula,2018-11-01
FPSO CIDADE DE PARATY,119471.353661697,4382.69404633333,147037.666501265,6,Lula,2018-11-01
FPSO CIDADE DE SÃO PAULO,118250.683693594,5021.95215766667,149837.808594408,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-11-01
FPSO CIDADE DE ILHA BELA,108638.866626641,4342.43187366667,135951.938049948,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-11-01
PETROBRAS 52,78583.7770368366,1560.79378166667,88400.8733727015,16,Roncador,2018-11-01
PETROBRAS 74 (P-74),65699.1264110767,2263.95518733333,79938.9743879177,3,Búzios,2018-11-01
PETROBRAS 40,61964.4825356667,830.916977666667,67190.7924509642,15,Marlim/Marlim Sul,2018-11-01
FPSO CIDADE DE ANGRA DOS REIS,59857.05863253,3026.84308066667,78895.326509738,6,Lula,2018-11-01
PETROBRAS 57,55273.1918667633,457.418360333333,58150.2664437715,16,Jubarte,2018-11-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,53152.18407063,576.637371333333,56779.1235752161,5,Anc_Tartaruga Verde/Tartaruga Verde,2018-11-01
PETROBRAS 43,49698.82678823,609.483624666667,53532.3629854947,19,Barracuda/Caratinga,2018-11-01
PEREGRINO A,47062.69193951,82.8843333333333,47584.0186481533,14,Peregrino,2018-11-01
PETROBRAS 56,44887.9041712733,1310.042888,53127.8250286446,10,Marlim Sul,2018-11-01
PETROBRAS 53,40878.6178388167,634.892403333333,44871.9704262267,15,Marlim Leste,2018-11-01
PETROBRAS 55,40722.7731198433,707.605271666667,45173.475833625,10,Roncador,2018-11-01
FPSO CIDADE DE ANCHIETA,40323.6490330867,1489.01478133333,49689.2690948649,5,Baleia Azul/Jubarte/Pirambu,2018-11-01
FPSO CAPIXABA,39001.55822693,834.876910333334,44252.7753663137,5,Cachalote/Jubarte,2018-11-01
PETROBRAS 51,37751.5863822333,600.789083333334,41530.4355664742,12,Marlim Sul,2018-11-01
PETROBRAS 54,35972.7840855633,512.161794666667,39194.1844632757,12,Roncador,2018-11-01
PETROBRAS 50,34250.2141432394,494.711665666667,37361.8565250663,14,Albacora/Albacora Leste,2018-11-01
FPSO CIDADE DE NITEROI,33890.03091385,615.497706666667,37761.3945442191,6,Marlim Leste,2018-11-01
FPSO ESPIRITO SANTO,33512.1392108175,321.927930333333,35537.0047263074,19,Argonauta/Ostra,2018-11-01
FPSO CIDADE DE CARAGUATATUBA,30382.2185530733,1284.27566466667,38460.0684714504,2,Lapa,2018-11-01
PETROBRAS 19,30269.500545346,352.603834,32487.3116664776,10,Marlim/Marlim Sul,2018-11-01
PETROBRAS 62,29231.3929834067,1860.59051233333,40934.153793786,14,Roncador,2018-11-01
FPSO CIDADE DE MARICÁ,150620.396024097,5150.86483064516,183018.357144537,5,Lula,2018-12-01
FPSO CIDADE DE ILHA BELA,142785.605153903,5773.72499387097,179101.238357603,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-12-01
PETROBRAS 58,142422.992157587,4515.41735870968,170824.109414573,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-12-01
FPSO CIDADE DE SAQUAREMA,140908.2233022,5698.27074935484,176749.2636442,6,Lula,2018-12-01
FPSO CIDADE DE MANGARATIBA,139336.811664306,7599.46587870968,187136.008142873,6,Lula,2018-12-01
PETROBRAS 66 (P-66),135391.34776339,5457.14186483871,169715.733236271,7,Lula,2018-12-01
FPSO CIDADE DE PARATY,117229.537620158,4241.47320580645,143907.598204772,6,Lula,2018-12-01
FPSO CIDADE DE SÃO PAULO,116400.33335002,4937.98210064516,147459.302546479,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-12-01
FPSO CIDADE DE ITAGUAÍ,113213.313356742,5849.09790129032,150003.027827257,5,Lula,2018-12-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,83642.2077791963,954.359047419355,89644.944859245,6,Anc_Tartaruga Verde/Tartaruga Verde/Tartaruga Verde Sudoeste,2018-12-01
PETROBRAS 52,78763.1981955581,1591.03968451613,88770.5355136245,16,Roncador,2018-12-01
FPSO CIDADE DE ANGRA DOS REIS,74527.6036200806,3701.60702225806,97810.0084847496,5,Lula,2018-12-01
PETROBRAS 74 (P-74),73113.5731732419,2553.70169774194,89175.8716487161,3,Búzios,2018-12-01
PETROBRAS 40,69160.8699039129,1181.78935322581,76594.1003957261,16,Marlim/Marlim Sul,2018-12-01
PETROBRAS 57,55866.7944439548,452.55528516129,58713.2812021152,16,Jubarte³,2018-12-01
PETROBRAS 43,49559.7665963226,583.543760645161,53230.1459774661,19,Barracuda/Caratinga,2018-12-01
PEREGRINO A,47605.5977012484,84.3290322580645,48136.0112916355,13,Peregrino,2018-12-01
PETROBRAS 56,44078.923552929,1301.50040677419,52265.1138264614,10,Marlim Sul,2018-12-01
PETROBRAS 55,42169.8262189323,710.097911935484,46636.2071664032,11,Roncador,2018-12-01
PETROBRAS 53,41567.7514029355,623.247870967742,45487.8620942271,15,Marlim Leste,2018-12-01
PETROBRAS 54,41207.4345646581,626.214883225806,45146.2071993206,12,Roncador,2018-12-01
FPSO CAPIXABA,39754.7725105935,845.632397741936,45073.6396222347,5,Cachalote/Jubarte³,2018-12-01
PETROBRAS 51,37947.5782144806,648.133236774194,42024.2131284753,12,Marlim Sul,2018-12-01
PETROBRAS 50,36020.7003119565,529.050048387097,39348.3245968022,15,Albacora/Albacora Leste,2018-12-01
FPSO CIDADE DE ANCHIETA,34994.6077811161,1295.37143258064,43142.2479714762,5,Baleia Azul³/Jubarte³/Pirambu,2018-12-01
FPSO CIDADE DE NITEROI,32920.7356858581,582.466874838709,36584.3416598873,6,Marlim Leste,2018-12-01
PETROBRAS 62,32266.6258804226,2696.3102616129,49225.905127018,13,Roncador,2018-12-01
FPSO ESPIRITO SANTO,30481.0767947084,299.025165483871,32361.8882708205,17,Argonauta/Ostra,2018-12-01
PETROBRAS 19,30387.0646825974,352.737774193548,32605.7182620977,10,Marlim/Marlim Sul,2018-12-01
FPSO CIDADE DE CARAGUATATUBA,26003.4096028968,1203.4560583871,33572.9195535005,2,Lapa,2018-12-01
FPSO CIDADE DE MARICÁ,150146.765215213,5104.17285612903,182251.042687422,7,Lula,2019-01-01
FPSO CIDADE DE SAQUAREMA,143368.910596574,5732.66381354839,179426.276777669,8,Lula,2019-01-01
FPSO CIDADE DE ILHA BELA,140080.465282568,5785.34163516129,176469.164952822,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-01-01
PETROBRAS 58,134415.656204423,4378.97184774194,161958.557122068,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2019-01-01
PETROBRAS 66 (P-66),128066.107212219,5025.46550612903,159675.330407325,7,Lula,2019-01-01
FPSO CIDADE DE ITAGUAÍ,124965.393199897,6541.10360387097,166107.69205856,5,Lula,2019-01-01
FPSO CIDADE DE MANGARATIBA,124930.965620516,6760.25759806452,167451.701463398,6,Lula,2019-01-01
FPSO CIDADE DE PARATY,116605.821799819,4296.7474583871,143631.546931057,6,Lula,2019-01-01
FPSO CIDADE DE SÃO PAULO,94952.0106154541,3802.23703322581,118867.359129408,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-01-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,84959.2249107928,971.037652580644,91066.867248371,6,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-01-01
PETROBRAS 52,77455.5284358193,1552.32216935484,87219.3399398491,16,Roncador,2019-01-01
FPSO CIDADE DE ANGRA DOS REIS,74072.1889125452,3894.24338225806,98566.2398807058,5,Lula,2019-01-01
PETROBRAS 40,68682.647533729,1055.64922258064,75322.480570409,16,Marlim/Marlim Sul,2019-01-01
PETROBRAS 57,55184.0720899323,445.935091290322,57988.9190864811,16,Jubarte³,2019-01-01
PETROBRAS 74 (P-74),49587.4600210613,1752.70092354839,60611.6158170052,3,Búzios/Búzios,2019-01-01
PETROBRAS 43,48514.9906048742,563.809706451613,52061.2465346106,19,Barracuda/Caratinga,2019-01-01
PEREGRINO A,44216.9909693419,78.316129032258,44709.5845408903,16,Peregrino,2019-01-01
PETROBRAS 55,43472.0299308839,737.872487419355,48113.107680979,11,Roncador,2019-01-01
PETROBRAS 56,42552.8127498323,1088.00821354839,49396.177691491,10,Marlim Sul,2019-01-01
PETROBRAS 53,40779.2993717839,618.586002580645,44670.0877966756,15,Marlim Leste,2019-01-01
PETROBRAS 54,38900.3058800355,603.771789354838,42697.9157184374,12,Roncador,2019-01-01
PETROBRAS 51,38007.4612636226,616.093691612903,41882.5735260663,12,Marlim Sul,2019-01-01
FPSO ESPIRITO SANTO,37734.9734979954,374.18364516129,40088.5175311673,19,Argonauta/Ostra,2019-01-01
FPSO CAPIXABA,37528.5368694839,768.649689032258,42363.1973700559,5,Cachalote/Jubarte³,2019-01-01
FPSO CIDADE DE ANCHIETA,36825.6749496355,1364.45078612903,45407.8111487377,5,Baleia Azu³l/Jubarte³/Pirambu,2019-01-01
FPSO PIONEIRO DE LIBRA,34231.6029476112,2273.85252096774,48533.7032725193,1,Mero,2019-01-01
PETROBRAS 62,31530.1560854645,2605.44806709677,47917.9293923705,13,Roncador,2019-01-01
PETROBRAS 50,31383.919435418,523.975739032258,34679.6272785405,15,Albacora/Albacora Leste,2019-01-01
PETROBRAS 69,26904.4431461355,900.504612903226,32568.4460654203,1,Lula,2019-01-01
FPSO CIDADE DE CARAGUATATUBA,26189.3810238581,1098.19524612903,33096.8204649129,2,Lapa,2019-01-01
FPSO CIDADE DE MARICÁ,145969.184137057,4897.81072678571,176775.483024501,6,Lula,2019-02-01
FPSO CIDADE DE ILHA BELA,143337.212551764,5796.54349392857,179796.369785311,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-02-01
FPSO CIDADE DE SAQUAREMA,142983.063144146,5809.49769714286,179523.699854613,6,Lula,2019-02-01
PETROBRAS 66 (P-66),125629.461629621,4762.03118071429,155581.73297039,7,Lula,2019-02-01
FPSO CIDADE DE ITAGUAÍ,124402.119772518,6571.37849857143,165734.841966617,5,Lula,2019-02-01
FPSO CIDADE DE SÃO PAULO,117767.94711158,4734.85733678572,147549.300137068,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-02-01
FPSO CIDADE DE PARATY,115422.964479014,4325.97041357143,142632.496446,6,Lula,2019-02-01
FPSO CIDADE DE MANGARATIBA,109351.395161489,5902.70067857143,146478.260916575,6,Lula,2019-02-01
PETROBRAS 58,105514.125847575,3452.06191678571,127226.939412393,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2019-02-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,104911.790989674,1229.0780775,112642.458572314,7,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-02-01
PETROBRAS 52,74961.2839181464,1478.21745214286,84258.9908308091,16,Roncador,2019-02-01
FPSO CIDADE DE ANGRA DOS REIS,70109.225644275,3435.9090725,91720.4408875762,6,Lula,2019-02-01
PETROBRAS 40,67035.2000638928,1136.63190928571,74184.3988132372,16,Marlim/Marlim Sul,2019-02-01
PETROBRAS 74 (P-74),59905.5072418714,2135.58195107143,73337.91195354,3,Búzios/Búzios,2019-02-01
PETROBRAS 57,54961.9951306,452.582603571428,57808.6537163696,16,Jubarte³,2019-02-01
FPSO PIONEIRO DE LIBRA,41826.1872810694,2769.99464928571,59248.9273260932,1,Mero,2019-02-01
PETROBRAS 55,41688.8067673429,714.734081071428,46184.3483378067,12,Roncador,2019-02-01
PETROBRAS 56,41339.8773112322,1017.97838321429,47742.7679257572,10,Marlim Sul,2019-02-01
PETROBRAS 54,39388.2121663321,587.75135,43085.0564850756,12,Roncador,2019-02-01
PETROBRAS 69,37960.5892806643,1362.05738464286,46527.6714391648,2,Lula/Sul De Lula,2019-02-01
PETROBRAS 51,37899.2793576893,621.151588928571,41806.2048332481,12,Marlim Sul,2019-02-01
FPSO ESPIRITO SANTO,37609.6584384606,376.864681428571,39980.0656803569,19,Argonauta/Ostra,2019-02-01
PETROBRAS 53,37088.7721947286,581.374375000001,40745.5065523473,15,Marlim Leste,2019-02-01
PEREGRINO A,35693.0431384821,68.8139285714286,36125.86967455,16,Peregrino,2019-02-01
FPSO CIDADE DE ANCHIETA,33030.3801175429,1217.28116071429,40686.8473350152,5,Baleia Azul³/Jubarte³/Pirambu,2019-02-01
PETROBRAS 62,25572.9814554393,1595.94477892857,35611.170885392,13,Roncador,2019-02-01
PETROBRAS 19,25161.0901026843,292.254953928571,26999.3182344538,10,Marlim/Marlim Sul,2019-02-01
PETROBRAS 67 (P-67),24506.3352583929,772.522928571429,29365.3576997507,1,Lula,2019-02-01
FPSO CIDADE DE CARAGUATATUBA,23836.5064351643,933.608944642857,29708.7293112684,2,Lapa,2019-02-01
PETROBRAS 18,19878.8324116003,248.138828214286,21439.5784946908,8,Marlim/Marlim Sul,2019-02-01
FPSO CIDADE DE MARICÁ,150011.061549977,5007.79174483871,181509.120144581,6,Lula,2019-03-01
FPSO CIDADE DE ILHA BELA,143991.278112952,5941.2280332258,181360.473608616,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-03-01
FPSO CIDADE DE SAQUAREMA,141825.431801994,5835.0294916129,178526.658648635,6,Lula,2019-03-01
PETROBRAS 66 (P-66),136813.8714827,4892.30251032258,167585.524735152,7,Lula,2019-03-01
PETROBRAS 58,122743.266224997,3957.51204774194,147635.265078004,13,Baleia Anã/Baleia Azul/Baleia Franca/Jubarte,2019-03-01
FPSO CIDADE DE ITAGUAÍ,120744.184028581,6389.30070322581,160931.671484737,5,Lula,2019-03-01
FPSO CIDADE DE MANGARATIBA,118044.098449723,6268.81891774194,157473.778366725,6,Lula,2019-03-01
FPSO CIDADE DE SÃO PAULO,116685.142049965,4764.13635935484,146650.654564399,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-03-01
FPSO CIDADE DE PARATY,105185.943344242,3880.52826580645,129593.728835794,6,Lula,2019-03-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,102622.131382767,1207.46542419355,110216.859482514,7,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-03-01
PETROBRAS 52,72794.2415485129,1436.35700387097,81828.6541950305,16,Roncador,2019-03-01
FPSO CIDADE DE ANGRA DOS REIS,69952.6798820161,3520.36424870968,92095.1021371927,6,Lula,2019-03-01
PETROBRAS 40,64939.9163829387,1034.03894516129,71443.8248806036,16,Marlim/Marlim Sul,2019-03-01
PETROBRAS 74 (P-74),64192.4353625387,2306.20582709677,78698.0318358703,3,Búzios,2019-03-01
PETROBRAS 69,59868.1889585677,2039.07478,72693.5819005595,3,Lula/Sul De Lula,2019-03-01
PETROBRAS 53,44186.0552489968,768.995711612904,49022.8921658567,15,Marlim Leste,2019-03-01
PETROBRAS 55,43558.4133698355,749.778247096775,48274.3760862073,12,Roncador,2019-03-01
PETROBRAS 57,39464.5099529194,317.151165806452,41459.3305271204,17,Jubarte,2019-03-01
PETROBRAS 51,38118.9653921258,591.574010645161,41839.8535200219,12,Marlim Sul,2019-03-01
FPSO ESPIRITO SANTO,37749.5155610341,360.675803225806,40018.0978349218,19,Argonauta/Ostra,2019-03-01
FPSO CAPIXABA,37221.8579077097,738.256273548387,41865.349599637,4,Cachalote/Jubarte,2019-03-01
FPSO CIDADE DE ANCHIETA,36333.0793491161,1350.17998096774,44825.4548952068,5,Baleia Azul/Jubarte/Pirambu,2019-03-01
PETROBRAS 56,34236.4888659323,760.86638,39022.1938315201,10,Marlim Sul,2019-03-01
PETROBRAS 43,32840.8591568,563.057295483871,36382.3825645074,19,Barracuda/Caratinga,2019-03-01
FPSO PIONEIRO DE LIBRA,31320.9446423444,2104.86939419355,44560.1732066369,1,Mero,2019-03-01
PETROBRAS 54,30470.4326648968,375.406628387097,32831.6690301922,11,Roncador,2019-03-01
PETROBRAS 67 (P-67),30167.9699047936,933.258193548387,36037.9866231561,1,Lula,2019-03-01
PETROBRAS 50,26051.0392256432,634.083238709677,30039.3023213118,11,Albacora/Albacora Leste,2019-03-01
PETROBRAS 76,25429.9047270968,974.309161290323,31558.1242328723,1,Búzios,2019-03-01
PETROBRAS 18,24384.3926249813,289.416541290323,26204.7676805546,8,Marlim/Marlim Sul,2019-03-01
FPSO CIDADE DE MARICÁ,148227.353399941,4993.388591,179634.818893499,7,Anc_Lula/Lula/Sul De Lula,2019-04-01
FPSO CIDADE DE SAQUAREMA,141659.022184795,5896.913618,178749.488428428,6,Anc_Lula/Lula/Sul De Lula,2019-04-01
FPSO CIDADE DE ILHA BELA,141233.879697249,5688.69501233333,177014.690472773,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-04-01
FPSO CIDADE DE MANGARATIBA,140165.218529917,7761.28774333333,188982.243790812,6,Lula,2019-04-01
PETROBRAS 66 (P-66),135072.991293355,5280.085119,168283.723475692,7,Anc_Lula/Lula/Sul De Lula,2019-04-01
FPSO CIDADE DE ITAGUAÍ,118204.195959477,6167.119627,156994.206660578,5,Lula,2019-04-01
FPSO CIDADE DE PARATY,114279.831681236,4223.13362133333,140842.539764035,6,Anc_Lula/Lula/Sul De Lula,2019-04-01
PETROBRAS 58,108959.018094017,3652.64202266667,131933.442414606,12,Baleia Anã/Baleia Azul/Baleia Franca/Jubarte,2019-04-01
FPSO CIDADE DE SÃO PAULO,101563.188688247,4239.652244,128229.795769081,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-04-01
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,101407.006573382,1185.03733933333,108860.666280695,7,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-04-01
PETROBRAS 74 (P-74),85806.5650371533,3169.15295233333,105739.934968269,4,Búzios,2019-04-01
PETROBRAS 69,75098.7982294601,2798.92246366667,92703.4887306553,3,Anc_Lula/Lula/Sul De Lula,2019-04-01
PETROBRAS 52,71988.8336775134,1415.07518166667,80889.3877059122,16,Roncador,2019-04-01
PETROBRAS 40,66842.80465998,1149.18914066667,74070.9860088366,16,Marlim/Marlim Sul,2019-04-01
PETROBRAS 57,51075.93665906,421.436032,53726.6892274939,17,Jubarte,2019-04-01
FPSO PIONEIRO DE LIBRA,41224.4355782596,2783.151269,58729.9282615285,1,Mero,2019-04-01
PETROBRAS 55,41204.5159575533,715.396729,45704.2254575848,12,Roncador,2019-04-01
PETROBRAS 53,40514.15060516,718.661080333334,45034.3922548514,14,Marlim Leste,2019-04-01
PETROBRAS 51,37723.5212500133,606.806312333333,41540.2176613907,12,Marlim Sul,2019-04-01
PETROBRAS 56,36926.8119833467,806.801193666667,42001.4381992832,10,Marlim Sul,2019-04-01
PETROBRAS 43,36686.9186299467,647.956408666666,40762.4413287424,18,Barracuda/Caratinga,2019-04-01
FPSO CIDADE DE ANCHIETA,35672.9362632433,1333.53194933333,44060.5988534796,5,Baleia Azul/Jubarte/Pirambu,2019-04-01
PEREGRINO A,34008.7783334433,57.1706666666667,34368.37096435,14,Peregrino,2019-04-01
PETROBRAS 75 (P-75),33785.2405826467,1182.49842733333,41222.9310158721,2,Búzios,2019-04-01
PETROBRAS 54,33487.8394964167,455.846300666667,36355.0261168129,11,Roncador,2019-04-01
FPSO CAPIXABA,31598.8879504233,682.450516,35891.3720304653,5,Cachalote/Jubarte,2019-04-01
FPSO CIDADE DE NITEROI,29401.7315212233,457.493314333334,32279.2775446503,6,Marlim Leste,2019-04-01
PETROBRAS 67 (P-67),29089.2997032922,887.926932,34674.1913994551,1,Anc_Lula/Lula/Sul De Lula,2019-04-01
FPSO ESPIRITO SANTO,27331.4017557888,270.476864,29032.6498397447,19,Abalone/Argonauta/Ostra,2019-04-01
PETROBRAS 76,24550.1431860133,943.506466666667,30484.619595118,1,Búzios,2019-04-01
FPSO CIDADE DE MARICÁ,149958.944328374,5228.40539838709,182844.620887203,7,Anc_Lula/Lula/Sul De Lula,2019-05-01
FPSO CIDADE DE ILHA BELA,141356.696058032,5986.74159870968,179012.163233012,9,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-05-01
