Nome ANP do Poço,Campo,Bacia,Localização,Gás Natural (Mm³/d),mes,Operador
7-LL-36A-RJS,Tupi,Santos,Mar,1547.800324,2021-06-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1525.637388,2021-06-01,NA
7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,1486.632805,2021-06-01,NA
7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,1465.049254,2021-06-01,NA
7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,1455.38397266667,2021-06-01,NA
9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,1394.878342,2021-06-01,NA
7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1323.81587366667,2021-06-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1300.06596333333,2021-06-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1297.96007966667,2021-06-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1270.96117866667,2021-06-01,NA
3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1260.82169033333,2021-06-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1240.651092,2021-06-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1184.63894033333,2021-06-01,NA
9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,1139.91801066667,2021-06-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1136.169366,2021-06-01,NA
7-SPH-14D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1109.862501,2021-06-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1107.527457,2021-06-01,NA
4-BRSA-711-RJS,Tupi,Santos,Mar,1102.79894066667,2021-06-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1082.54877033333,2021-06-01,NA
7-LL-102D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,0,2021-06-01,NA
9-BRSA-1191-RJS,Búzios/Tambuatá,Santos,Mar,0,2021-06-01,NA
9-BUZ-7-RJS,Búzios/Tambuatá,Santos,Mar,0,2021-06-01,NA
7-SPH-17-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,0,2021-06-01,NA
7-LL-83D-RJS,Tupi,Santos,Mar,0,2021-06-01,NA
7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,0,2021-06-01,NA
3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,0,2021-06-01,NA
7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,2132.99353225806,2021-07-01,NA
7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,1885.73226935484,2021-07-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1776.46503387097,2021-07-01,NA
9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,1748.59184322581,2021-07-01,NA
7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,1736.03258322581,2021-07-01,NA
3-BRSA-1305A-RJS,Mero,Santos,Mar,1604.74740032258,2021-07-01,NA
7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,1599.91703645161,2021-07-01,NA
7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1565.20725322581,2021-07-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1565.07759806452,2021-07-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1556.22303677419,2021-07-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1530.27446870968,2021-07-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1523.63950032258,2021-07-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1492.07899677419,2021-07-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1465.36899322581,2021-07-01,NA
7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,1463.17873516129,2021-07-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1461.05192645161,2021-07-01,NA
9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,1432.00056419355,2021-07-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1383.56919967742,2021-07-01,NA
7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,1360.56756580645,2021-07-01,NA
7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,1329.37131516129,2021-07-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1328.17596225806,2021-07-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1312.44043096774,2021-07-01,NA
3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1226.13034193548,2021-07-01,NA
7-LL-102D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1212.41003290323,2021-07-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1183.73906548387,2021-07-01,NA
3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,1153.14785870968,2021-07-01,NA
7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1146.96614419355,2021-07-01,NA
7-BUZ-36DA-RJS,Búzios/Tambuatá,Santos,Mar,1145.4699483871,2021-07-01,NA
7-SLL-5-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1130.24359,2021-07-01,NA
3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,1111.19325870968,2021-07-01,NA
7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,2121.11377967742,2021-08-01,NA
9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,1928.31315774194,2021-08-01,NA
7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,1893.72719225806,2021-08-01,NA
7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,1765.57299258065,2021-08-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1662.38948387097,2021-08-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1639.95687774194,2021-08-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1631.90545516129,2021-08-01,NA
7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,1601.03609645161,2021-08-01,NA
7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1598.80865322581,2021-08-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1551.78068290322,2021-08-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1528.04338322581,2021-08-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1468.42098903226,2021-08-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1395.14166032258,2021-08-01,NA
7-BUZ-36DA-RJS,Búzios/Tambuatá,Santos,Mar,1357.31773580645,2021-08-01,NA
7-LL-51-RJS,Tupi,Santos,Mar,1357.08413483871,2021-08-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1346.70762451613,2021-08-01,NA
9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,1343.54491903226,2021-08-01,NA
7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,1328.93823741935,2021-08-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1318.93304290322,2021-08-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1267.60273612903,2021-08-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1263.17977580645,2021-08-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1257.54800806452,2021-08-01,NA
3-BRSA-1184-RJS,Búzios/Tambuatá,Santos,Mar,1242.01287451613,2021-08-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1213.95267354839,2021-08-01,NA
7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1208.36399387097,2021-08-01,NA
3-BRSA-1053-RJS,Búzios/Tambuatá,Santos,Mar,1163.30231,2021-08-01,NA
3-BRSA-1064-RJS,Búzios/Tambuatá,Santos,Mar,1155.53282387097,2021-08-01,NA
7-LL-102D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1106.17700032258,2021-08-01,NA
9-BUZ-1-RJS,Búzios/Tambuatá,Santos,Mar,1042.85389096774,2021-08-01,NA
7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,1035.36226516129,2021-08-01,NA
7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1967.10585966667,2021-09-01,NA
7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1839.81353566667,2021-09-01,NA
7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1824.24845933333,2021-09-01,NA
9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1802.808574,2021-09-01,NA
7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1796.27453966667,2021-09-01,NA
7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1773.813177,2021-09-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1757.82300833333,2021-09-01,NA
9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1736.17679966667,2021-09-01,NA
7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1717.37134366667,2021-09-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1590.17182066667,2021-09-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1566.635664,2021-09-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1537.850992,2021-09-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1495.12543466667,2021-09-01,NA
7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1398.56436566667,2021-09-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1395.311735,2021-09-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1365.28849466667,2021-09-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1351.486084,2021-09-01,NA
7-SPH-14D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1321.030686,2021-09-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1306.08692533333,2021-09-01,NA
7-LL-51-RJS,Tupi,Santos,Mar,1261.44480533333,2021-09-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1241.202909,2021-09-01,NA
9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,1211.93511766667,2021-09-01,NA
7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1199.89786066667,2021-09-01,NA
7-BUZ-36DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1194.71617966667,2021-09-01,NA
7-SPH-20D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1175.51398666667,2021-09-01,NA
3-BRSA-1184-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1131.517973,2021-09-01,NA
7-LL-83D-RJS,Tupi,Santos,Mar,1126.88571933333,2021-09-01,NA
7-LL-102D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1109.50498,2021-09-01,NA
7-SLL-5-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1105.19580566667,2021-09-01,NA
3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1079.36429966667,2021-09-01,NA
7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,2162.03490774194,2021-10-01,NA
7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1796.58344419355,2021-10-01,NA
7-SPH-14D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1745.81092096774,2021-10-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1729.22042870968,2021-10-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1717.37208,2021-10-01,NA
9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1659.53742709677,2021-10-01,NA
7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1648.22752903226,2021-10-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1572.19821096774,2021-10-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1571.30927,2021-10-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1565.39902677419,2021-10-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1495.72992806452,2021-10-01,NA
7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1490.32148225806,2021-10-01,NA
7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1488.24115419355,2021-10-01,NA
9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1467.18853935484,2021-10-01,NA
7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1419.87708967742,2021-10-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1391.96759387097,2021-10-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1378.3612316129,2021-10-01,NA
7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1355.12827806452,2021-10-01,NA
9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,1323.12650129032,2021-10-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1292.15004,2021-10-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1281.73081,2021-10-01,NA
7-SLL-5-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1262.6392816129,2021-10-01,NA
7-LL-51-RJS,Tupi,Santos,Mar,1234.96147677419,2021-10-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1198.40337870968,2021-10-01,NA
3-BRSA-1172-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1073.40983741935,2021-10-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1046.32876967742,2021-10-01,NA
1-BRSA-1146-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1041.8954316129,2021-10-01,NA
8-LPA-2D-SPS,Lapa,Santos,Mar,1041.84515935484,2021-10-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1032.60308548387,2021-10-01,NA
7-LL-70-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1024.37968935484,2021-10-01,NA
7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1924.73976967742,2021-12-01,NA
3-BRSA-1322-RJS,Mero,Santos,Mar,1918.56155677419,2021-12-01,NA
7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1887.67310741935,2021-12-01,NA
7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1878.85915741935,2021-12-01,NA
7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1877.59953,2021-12-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1824.34871677419,2021-12-01,NA
9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1688.82161709677,2021-12-01,NA
7-SPH-14D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1666.48208032258,2021-12-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1661.63909580645,2021-12-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1633.79403354839,2021-12-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1611.84113096774,2021-12-01,NA
9-BRSA-1191-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1550.86505516129,2021-12-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1509.5246583871,2021-12-01,NA
9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1473.76574548387,2021-12-01,NA
7-SLL-5-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1439.23512677419,2021-12-01,NA
7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1436.85255806452,2021-12-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1429.90282774193,2021-12-01,NA
9-LL-20D-RJS,Tupi/Tupi/Tupi,Santos,Mar,1425.91199193548,2021-12-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1388.57884419355,2021-12-01,NA
7-LL-51-RJS,Tupi,Santos,Mar,1343.61963483871,2021-12-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1311.0191816129,2021-12-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1305.01800451613,2021-12-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1289.74573709677,2021-12-01,NA
7-SPH-17-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1282.03712612903,2021-12-01,NA
9-BUZ-7-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1267.15922483871,2021-12-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1263.52295096774,2021-12-01,NA
8-LPA-2D-SPS,Lapa,Santos,Mar,1244.14984677419,2021-12-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1233.6585383871,2021-12-01,NA
7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1219.75821870968,2021-12-01,NA
7-LL-83D-RJS,Tupi,Santos,Mar,1206.03838548387,2021-12-01,NA
7-BUZ-12-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,2172.57917666667,2021-11-01,NA
7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1946.622912,2021-11-01,NA
7-SPH-22-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1814.79019166667,2021-11-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1785.46662133333,2021-11-01,NA
7-BUZ-31D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1778.27098466667,2021-11-01,NA
7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1750.26731633333,2021-11-01,NA
7-BUZ-14DA-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1735.11287133333,2021-11-01,NA
9-BUZ-3-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1671.81764266667,2021-11-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1663.09634766667,2021-11-01,NA
7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1590.199852,2021-11-01,NA
9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1585.95909433333,2021-11-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1557.537052,2021-11-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste De Atapu,Santos,Mar,1552.66139266667,2021-11-01,NA
7-BUZ-30-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1491.060046,2021-11-01,NA
7-LL-119D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1471.986028,2021-11-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1448.39614,2021-11-01,NA
9-LL-12D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1401.377717,2021-11-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1347.10275066667,2021-11-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1346.80118833333,2021-11-01,NA
7-LL-51-RJS,Tupi,Santos,Mar,1336.031107,2021-11-01,NA
7-SPH-14D-SPS,Nordeste De Sapinhoá/Noroeste De Sapinhoá/Sapinhoá/Sudoeste De Sapinhoá,Santos,Mar,1327.96282833333,2021-11-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1297.492208,2021-11-01,NA
9-BRSA-1191-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1282.67496666667,2021-11-01,NA
7-LL-83D-RJS,Tupi,Santos,Mar,1269.244096,2021-11-01,NA
7-LL-15D-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1262.192619,2021-11-01,NA
7-SLL-5-RJS,Anc_Tupi/Sul De Tupi/Tupi,Santos,Mar,1254.23651366667,2021-11-01,NA
4-BRSA-711-RJS,Tupi,Santos,Mar,1235.150938,2021-11-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1228.89905466667,2021-11-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1214.35765366667,2021-11-01,NA
9-BRSA-1254-RJS,Sépia/Sépia Leste,Santos,Mar,1179.16414833333,2021-11-01,NA
3-BRSA-1305A-RJS,Mero,Santos,Mar,2298.12494,2021-02-01,NA
7-BUZ-30-RJS,Búzios/Tambuatá,Santos,Mar,1766.44420357143,2021-02-01,NA
7-BUZ-24D-RJS,Búzios/Tambuatá,Santos,Mar,1764.89406821428,2021-02-01,NA
7-BUZ-10-RJS,Búzios/Tambuatá,Santos,Mar,1742.49005535714,2021-02-01,NA
7-LL-36A-RJS,Tupi,Santos,Mar,1682.61799535714,2021-02-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1677.40344428571,2021-02-01,NA
9-BUZ-3-RJS,Búzios/Tambuatá,Santos,Mar,1634.05557178571,2021-02-01,NA
7-LL-67D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1620.62130178571,2021-02-01,NA
7-BUZ-12-RJS,Búzios/Tambuatá,Santos,Mar,1618.37942821429,2021-02-01,NA
7-MXL-18HA-SPS,Mexilhão,Santos,Mar,1562.779085,2021-02-01,NA
7-BUZ-23-RJS,Búzios/Tambuatá,Santos,Mar,1515.7717575,2021-02-01,NA
7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1511.63013964286,2021-02-01,NA
9-LL-2-RJS,Tupi,Santos,Mar,1474.46181678571,2021-02-01,NA
9-LL-20D-RJS,Tupi,Santos,Mar,1473.46477714286,2021-02-01,NA
7-LL-60D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1425.07706571429,2021-02-01,NA
7-SPH-17-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1337.40046571429,2021-02-01,NA
7-MXL-17HPA-SPS,Mexilhão,Santos,Mar,1326.72973714286,2021-02-01,NA
7-BUZ-31D-RJS,Búzios/Tambuatá,Santos,Mar,1321.52864964286,2021-02-01,NA
9-BUZ-4-RJS,Búzios/Tambuatá,Santos,Mar,1313.82233464286,2021-02-01,NA
7-LL-103D-RJS,Tupi,Santos,Mar,1280.42706214286,2021-02-01,NA
7-SLL-3-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1277.17608964286,2021-02-01,NA
7-BUZ-25-RJS,Búzios/Tambuatá,Santos,Mar,1227.75128928571,2021-02-01,NA
7-SPH-5-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1200.61431321428,2021-02-01,NA
7-SPH-14D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1187.51534464286,2021-02-01,NA
7-LL-73D-RJS,Tupi,Santos,Mar,1169.87428357143,2021-02-01,NA
7-LL-27-RJS,Tupi,Santos,Mar,1158.22110428571,2021-02-01,NA
7-LL-102D-RJS,Anc_Tupi/Sul de Tupi/Tupi,Santos,Mar,1154.93396392857,2021-02-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1151.74574857143,2021-02-01,NA
7-SPH-20D-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,1139.54212964286,2021-02-01,NA
7-BUZ-14DA-RJS,Búzios/Tambuatá,Santos,Mar,1082.45617821429,2021-02-01,NA
3-BRSA-1322-RJS,Anc_Mero/Mero,Santos,Mar,3056.83883333333,2022-04-01,NA
7-BUZ-24D-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,2185.734579,2022-04-01,NA
7-SPH-22-SPS,Nordeste de Sapinhoá/Noroeste de Sapinhoá/Sapinhoá/Sudoeste de Sapinhoá,Santos,Mar,2029.735562,2022-04-01,NA
7-BUZ-25-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1879.573415,2022-04-01,NA
7-ATP-6-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1807.089975,2022-04-01,NA
7-BUZ-23-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1762.53376366667,2022-04-01,NA
9-BUZ-4-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1743.315578,2022-04-01,NA
7-BUZ-10-RJS,Búzios/Búzios_Eco/Tambuatá,Santos,Mar,1731.50496666667,2022-04-01,NA
7-RO-111HP-RJS,Roncador,Campos,Mar,1709.82909033333,2022-04-01,NA
9-ATP-1-RJS,Anc_Norte_Atapu/Atapu/Oeste de Atapu,Santos,Mar,1590.827391,2022-04-01,NA
